Date,Close/Last,Volume,Open,High,Low
12/15/2023,64.1406,2771,65.2807,65.2807,63.1506
12/14/2023,65.8837,4413,65.7607,67.9507,65.6737
12/13/2023,66.6481,4070,65.1007,66.6481,65.0182
12/12/2023,67.789,3359,71.4007,71.4007,67.789
12/11/2023,70.8706,4810,67.9807,72.7807,67.9807
12/08/2023,68.1928,4799,68.8507,68.9107,67.6507
12/07/2023,70.9498,8219,74.6107,74.6107,70.9498
12/06/2023,74.7907,7477,69.2641,74.7907,68.7607
12/05/2023,71.3953,9375,74.4007,74.4307,71.2807
12/04/2023,74.7307,10994,73.2307,76.1108,73.2307
12/01/2023,70.8853,3137,72.5707,72.5707,69.5707
11/30/2023,70.8211,4552,67.7377,71.5807,67.7377
11/29/2023,67.0066,1368,66.6307,67.4407,65.2507
11/28/2023,68.0953,9001,67.3837,68.7607,67.1107
11/27/2023,66.7462,2907,68.1307,68.3107,66.2437
11/24/2023,67.5346,4908,65.1007,67.5907,65.1007
11/22/2023,65.2837,20921,62.8206,67.7527,61.5636
11/21/2023,62.3706,9726,61.5006,63.6006,61.5006
11/20/2023,61.3104,8147,63.2106,64.6206,60.9306
11/17/2023,64.1466,2645,63.9306,64.4706,63.2106
11/16/2023,63.7506,4738,65.5927,66.0157,63.6306
11/15/2023,65.422,12785,63.4122,66.6007,62.9256
11/14/2023,63.2223,7870,63.9306,64.7406,63.1806
11/13/2023,66.0907,6295,67.0207,67.2307,64.7706
11/10/2023,66.7807,5899,69.5707,69.7507,66.6247
11/09/2023,71.0059,8294,68.5567,71.4907,67.6777
11/08/2023,72.2122,1989,73.1512,73.1707,71.3614
11/07/2023,74.1574,3789,75.2108,75.3308,73.4707
11/06/2023,74.8684,3657,74.5207,76.5002,74.5207
11/03/2023,77.4008,5433,81.4808,81.4808,76.4708
11/02/2023,82.889,6442,83.9408,85.6509,82.1708
11/01/2023,87.6834,5618,93.7509,93.7509,87.6834
10/31/2023,94.9386,12652,96.901,101.611,94.5909
10/30/2023,92.94,1739,92.8809,95.461,91.0509
10/27/2023,96.4678,1908,93.3309,97.861,93.3309
10/26/2023,97.0489,6097,90.7209,97.951,88.8909
10/25/2023,90.7665,976,84.3608,91.3608,84.3608
10/24/2023,83.4983,1244,87.0009,87.0009,83.4983
10/23/2023,86.3628,7450,94.5009,94.7709,85.3809
10/20/2023,93.7479,1647,91.4859,93.9909,89.3586
10/19/2023,90.327,500,87.9609,90.327,87.1809
